SLR closure table
Goto	Kernel	State	Closure
goto(25, RELATIONALTERM)	{RELATIONALEXPRESSION -> RELATIONALTERM.}	40	{RELATIONALEXPRESSION -> RELATIONALTERM.}
goto(25, ARITHMETICEXPRESSION)	{RELATIONALTERM -> ARITHMETICEXPRESSION.OpRel ARITHMETICEXPRESSION; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSub ARITHMETICTERM}	41	{RELATIONALTERM -> ARITHMETICEXPRESSION.OpRel ARITHMETICEXPRESSION; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSub ARITHMETICTERM}
goto(25, OpenPar)	{RELATIONALTERM -> OpenPar.RELATIONALEXPRESSION ClosePar; ARITHMETICFACTOR -> OpenPar.ARITHMETICEXPRESSION ClosePar}	42	{RELATIONALTERM -> OpenPar.RELATIONALEXPRESSION ClosePar; ARITHMETICFACTOR -> OpenPar.ARITHMETICEXPRESSION ClosePar; RELATIONALEXPRESSION -> .RELATIONALEXPRESSION BOOLEANOPERATOR RELATIONALTERM; RELATIONALEXPRESSION -> .RELATIONALTERM; ARITHMETICEXPRESSION -> .ARITHMETICEXPRESSION OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> .ARITHMETICEXPRESSION OpAritSub ARITHMETICTERM; ARITHMETICEXPRESSION -> .ARITHMETICTERM; RELATIONALTERM -> .ARITHMETICEXPRESSION OpRel ARITHMETICEXPRESSION; RELATIONALTERM -> .OpenPar RELATIONALEXPRESSION ClosePar; ARITHMETICTERM -> .ARITHMETICTERM OpAritMult ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICTERM OpAritDiv ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICFACTOR; ARITHMETICFACTOR -> .NumInt; ARITHMETICFACTOR -> .NumReal; ARITHMETICFACTOR -> .Var; ARITHMETICFACTOR -> .OpenPar ARITHMETICEXPRESSION ClosePar}
goto(25, ARITHMETICTERM)	{ARITHMETICEXPRESSION -> ARITHMETICTERM.; ARITHMETICTERM -> ARITHMETICTERM.OpAritMult ARITHMETICFACTOR; ARITHMETICTERM -> ARITHMETICTERM.OpAritDiv ARITHMETICFACTOR}	30	 
goto(25, ARITHMETICFACTOR)	{ARITHMETICTERM -> ARITHMETICFACTOR.}	31	 
goto(25, NumInt)	{ARITHMETICFACTOR -> NumInt.}	32	 
goto(25, NumReal)	{ARITHMETICFACTOR -> NumReal.}	33	 
goto(25, Var)	{ARITHMETICFACTOR -> Var.}	34	 
goto(26, RELATIONALEXPRESSION)	{REPEATCMD -> KwWhile RELATIONALEXPRESSION.COMMAND; RELATIONALEXPRESSION -> RELATIONALEXPRESSION.BOOLEANOPERATOR RELATIONALTERM}	43	{REPEATCMD -> KwWhile RELATIONALEXPRESSION.COMMAND; RELATIONALEXPRESSION -> RELATIONALEXPRESSION.BOOLEANOPERATOR RELATIONALTERM; COMMAND -> .ASSIGNCMD; COMMAND -> .INCMD; COMMAND -> .OUTCMD; COMMAND -> .CONDITIONCMD; COMMAND -> .REPEATCMD; COMMAND -> .SUBALGORITHM; BOOLEANOPERATOR -> .OpBoolAnd; BOOLEANOPERATOR -> .OpBoolOr; ASSIGNCMD -> .KwAssign ARITHMETICEXPRESSION KwTo Var; INCMD -> .KwRead Var; OUTCMD -> .KwPrint Var; OUTCMD -> .KwPrint String; CONDITIONCMD -> .KwIf RELATIONALEXPRESSION KwThen COMMAND; CONDITIONCMD -> .KwIf RELATIONALEXPRESSION KwThen COMMAND KwElse COMMAND; REPEATCMD -> .KwWhile RELATIONALEXPRESSION COMMAND; SUBALGORITHM -> .KwBegin COMMANDLIST KwEnd}
goto(26, RELATIONALTERM)	{RELATIONALEXPRESSION -> RELATIONALTERM.}	40	 
goto(26, ARITHMETICEXPRESSION)	{RELATIONALTERM -> ARITHMETICEXPRESSION.OpRel ARITHMETICEXPRESSION; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSub ARITHMETICTERM}	41	 
goto(26, OpenPar)	{RELATIONALTERM -> OpenPar.RELATIONALEXPRESSION ClosePar; ARITHMETICFACTOR -> OpenPar.ARITHMETICEXPRESSION ClosePar}	42	 
goto(26, ARITHMETICTERM)	{ARITHMETICEXPRESSION -> ARITHMETICTERM.; ARITHMETICTERM -> ARITHMETICTERM.OpAritMult ARITHMETICFACTOR; ARITHMETICTERM -> ARITHMETICTERM.OpAritDiv ARITHMETICFACTOR}	30	 
goto(26, ARITHMETICFACTOR)	{ARITHMETICTERM -> ARITHMETICFACTOR.}	31	 
goto(26, NumInt)	{ARITHMETICFACTOR -> NumInt.}	32	 
goto(26, NumReal)	{ARITHMETICFACTOR -> NumReal.}	33	 
goto(26, Var)	{ARITHMETICFACTOR -> Var.}	34	 
goto(27, COMMANDLIST)	{SUBALGORITHM -> KwBegin COMMANDLIST.KwEnd}	44	{SUBALGORITHM -> KwBegin COMMANDLIST.KwEnd}
goto(27, COMMAND)	{COMMANDLIST -> COMMAND.COMMANDLIST; COMMANDLIST -> COMMAND.}	15	 
goto(27, ASSIGNCMD)	{COMMAND -> ASSIGNCMD.}	16	 
goto(27, INCMD)	{COMMAND -> INCMD.}	17	 
goto(27, OUTCMD)	{COMMAND -> OUTCMD.}	18	 
goto(27, CONDITIONCMD)	{COMMAND -> CONDITIONCMD.}	19	 
goto(27, REPEATCMD)	{COMMAND -> REPEATCMD.}	20	 
goto(27, SUBALGORITHM)	{COMMAND -> SUBALGORITHM.}	21	 
goto(27, KwAssign)	{ASSIGNCMD -> KwAssign.ARITHMETICEXPRESSION KwTo Var}	22	 
goto(27, KwRead)	{INCMD -> KwRead.Var}	23	 
goto(27, KwPrint)	{OUTCMD -> KwPrint.Var; OUTCMD -> KwPrint.String}	24	 
goto(27, KwIf)	{CONDITIONCMD -> KwIf.RELATIONALEXPRESSION KwThen COMMAND; CONDITIONCMD -> KwIf.RELATIONALEXPRESSION KwThen COMMAND KwElse COMMAND}	25	 
goto(27, KwWhile)	{REPEATCMD -> KwWhile.RELATIONALEXPRESSION COMMAND}	26	 
goto(27, KwBegin)	{SUBALGORITHM -> KwBegin.COMMANDLIST KwEnd}	27	 
goto(29, KwTo)	{ASSIGNCMD -> KwAssign ARITHMETICEXPRESSION KwTo.Var}	45	{ASSIGNCMD -> KwAssign ARITHMETICEXPRESSION KwTo.Var}
goto(29, OpAritSum)	{ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION OpAritSum.ARITHMETICTERM}	46	{ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION OpAritSum.ARITHMETICTERM; ARITHMETICTERM -> .ARITHMETICTERM OpAritMult ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICTERM OpAritDiv ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICFACTOR; ARITHMETICFACTOR -> .NumInt; ARITHMETICFACTOR -> .NumReal; ARITHMETICFACTOR -> .Var; ARITHMETICFACTOR -> .OpenPar ARITHMETICEXPRESSION ClosePar}
goto(29, OpAritSub)	{ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION OpAritSub.ARITHMETICTERM}	47	{ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION OpAritSub.ARITHMETICTERM; ARITHMETICTERM -> .ARITHMETICTERM OpAritMult ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICTERM OpAritDiv ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICFACTOR; ARITHMETICFACTOR -> .NumInt; ARITHMETICFACTOR -> .NumReal; ARITHMETICFACTOR -> .Var; ARITHMETICFACTOR -> .OpenPar ARITHMETICEXPRESSION ClosePar}
goto(30, OpAritMult)	{ARITHMETICTERM -> ARITHMETICTERM OpAritMult.ARITHMETICFACTOR}	48	{ARITHMETICTERM -> ARITHMETICTERM OpAritMult.ARITHMETICFACTOR; ARITHMETICFACTOR -> .NumInt; ARITHMETICFACTOR -> .NumReal; ARITHMETICFACTOR -> .Var; ARITHMETICFACTOR -> .OpenPar ARITHMETICEXPRESSION ClosePar}
goto(30, OpAritDiv)	{ARITHMETICTERM -> ARITHMETICTERM OpAritDiv.ARITHMETICFACTOR}	49	{ARITHMETICTERM -> ARITHMETICTERM OpAritDiv.ARITHMETICFACTOR; ARITHMETICFACTOR -> .NumInt; ARITHMETICFACTOR -> .NumReal; ARITHMETICFACTOR -> .Var; ARITHMETICFACTOR -> .OpenPar ARITHMETICEXPRESSION ClosePar}
goto(35, ARITHMETICEXPRESSION)	{ARITHMETICFACTOR -> OpenPar ARITHMETICEXPRESSION.ClosePar; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSub ARITHMETICTERM}	50	{ARITHMETICFACTOR -> OpenPar ARITHMETICEXPRESSION.ClosePar; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSub ARITHMETICTERM}
goto(35, ARITHMETICTERM)	{ARITHMETICEXPRESSION -> ARITHMETICTERM.; ARITHMETICTERM -> ARITHMETICTERM.OpAritMult ARITHMETICFACTOR; ARITHMETICTERM -> ARITHMETICTERM.OpAritDiv ARITHMETICFACTOR}	30	 
goto(35, ARITHMETICFACTOR)	{ARITHMETICTERM -> ARITHMETICFACTOR.}	31	 
goto(35, NumInt)	{ARITHMETICFACTOR -> NumInt.}	32	 
goto(35, NumReal)	{ARITHMETICFACTOR -> NumReal.}	33	 
goto(35, Var)	{ARITHMETICFACTOR -> Var.}	34	 
goto(35, OpenPar)	{ARITHMETICFACTOR -> OpenPar.ARITHMETICEXPRESSION ClosePar}	35	 
goto(39, KwThen)	{CONDITIONCMD -> KwIf RELATIONALEXPRESSION KwThen.COMMAND; CONDITIONCMD -> KwIf RELATIONALEXPRESSION KwThen.COMMAND KwElse COMMAND}	51	{CONDITIONCMD -> KwIf RELATIONALEXPRESSION KwThen.COMMAND; CONDITIONCMD -> KwIf RELATIONALEXPRESSION KwThen.COMMAND KwElse COMMAND; COMMAND -> .ASSIGNCMD; COMMAND -> .INCMD; COMMAND -> .OUTCMD; COMMAND -> .CONDITIONCMD; COMMAND -> .REPEATCMD; COMMAND -> .SUBALGORITHM; ASSIGNCMD -> .KwAssign ARITHMETICEXPRESSION KwTo Var; INCMD -> .KwRead Var; OUTCMD -> .KwPrint Var; OUTCMD -> .KwPrint String; CONDITIONCMD -> .KwIf RELATIONALEXPRESSION KwThen COMMAND; CONDITIONCMD -> .KwIf RELATIONALEXPRESSION KwThen COMMAND KwElse COMMAND; REPEATCMD -> .KwWhile RELATIONALEXPRESSION COMMAND; SUBALGORITHM -> .KwBegin COMMANDLIST KwEnd}
goto(39, BOOLEANOPERATOR)	{RELATIONALEXPRESSION -> RELATIONALEXPRESSION BOOLEANOPERATOR.RELATIONALTERM}	52	{RELATIONALEXPRESSION -> RELATIONALEXPRESSION BOOLEANOPERATOR.RELATIONALTERM; RELATIONALTERM -> .ARITHMETICEXPRESSION OpRel ARITHMETICEXPRESSION; RELATIONALTERM -> .OpenPar RELATIONALEXPRESSION ClosePar; ARITHMETICEXPRESSION -> .ARITHMETICEXPRESSION OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> .ARITHMETICEXPRESSION OpAritSub ARITHMETICTERM; ARITHMETICEXPRESSION -> .ARITHMETICTERM; ARITHMETICTERM -> .ARITHMETICTERM OpAritMult ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICTERM OpAritDiv ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICFACTOR; ARITHMETICFACTOR -> .NumInt; ARITHMETICFACTOR -> .NumReal; ARITHMETICFACTOR -> .Var; ARITHMETICFACTOR -> .OpenPar ARITHMETICEXPRESSION ClosePar}
goto(39, OpBoolAnd)	{BOOLEANOPERATOR -> OpBoolAnd.}	53	{BOOLEANOPERATOR -> OpBoolAnd.}
goto(39, OpBoolOr)	{BOOLEANOPERATOR -> OpBoolOr.}	54	{BOOLEANOPERATOR -> OpBoolOr.}
goto(41, OpRel)	{RELATIONALTERM -> ARITHMETICEXPRESSION OpRel.ARITHMETICEXPRESSION}	55	{RELATIONALTERM -> ARITHMETICEXPRESSION OpRel.ARITHMETICEXPRESSION; ARITHMETICEXPRESSION -> .ARITHMETICEXPRESSION OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> .ARITHMETICEXPRESSION OpAritSub ARITHMETICTERM; ARITHMETICEXPRESSION -> .ARITHMETICTERM; ARITHMETICTERM -> .ARITHMETICTERM OpAritMult ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICTERM OpAritDiv ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICFACTOR; ARITHMETICFACTOR -> .NumInt; ARITHMETICFACTOR -> .NumReal; ARITHMETICFACTOR -> .Var; ARITHMETICFACTOR -> .OpenPar ARITHMETICEXPRESSION ClosePar}
goto(41, OpAritSum)	{ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION OpAritSum.ARITHMETICTERM}	46	 
goto(41, OpAritSub)	{ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION OpAritSub.ARITHMETICTERM}	47	 
goto(42, RELATIONALEXPRESSION)	{RELATIONALTERM -> OpenPar RELATIONALEXPRESSION.ClosePar; RELATIONALEXPRESSION -> RELATIONALEXPRESSION.BOOLEANOPERATOR RELATIONALTERM}	56	{RELATIONALTERM -> OpenPar RELATIONALEXPRESSION.ClosePar; RELATIONALEXPRESSION -> RELATIONALEXPRESSION.BOOLEANOPERATOR RELATIONALTERM; BOOLEANOPERATOR -> .OpBoolAnd; BOOLEANOPERATOR -> .OpBoolOr}
goto(42, ARITHMETICEXPRESSION)	{ARITHMETICFACTOR -> OpenPar ARITHMETICEXPRESSION.ClosePar; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSub ARITHMETICTERM; RELATIONALTERM -> ARITHMETICEXPRESSION.OpRel ARITHMETICEXPRESSION}	57	{ARITHMETICFACTOR -> OpenPar ARITHMETICEXPRESSION.ClosePar; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSub ARITHMETICTERM; RELATIONALTERM -> ARITHMETICEXPRESSION.OpRel ARITHMETICEXPRESSION}
goto(42, RELATIONALTERM)	{RELATIONALEXPRESSION -> RELATIONALTERM.}	40	 
goto(42, ARITHMETICTERM)	{ARITHMETICEXPRESSION -> ARITHMETICTERM.; ARITHMETICTERM -> ARITHMETICTERM.OpAritMult ARITHMETICFACTOR; ARITHMETICTERM -> ARITHMETICTERM.OpAritDiv ARITHMETICFACTOR}	30	 
goto(42, OpenPar)	{RELATIONALTERM -> OpenPar.RELATIONALEXPRESSION ClosePar; ARITHMETICFACTOR -> OpenPar.ARITHMETICEXPRESSION ClosePar}	42	 
goto(42, ARITHMETICFACTOR)	{ARITHMETICTERM -> ARITHMETICFACTOR.}	31	 
goto(42, NumInt)	{ARITHMETICFACTOR -> NumInt.}	32	 
goto(42, NumReal)	{ARITHMETICFACTOR -> NumReal.}	33	 
goto(42, Var)	{ARITHMETICFACTOR -> Var.}	34	 
goto(43, COMMAND)	{REPEATCMD -> KwWhile RELATIONALEXPRESSION COMMAND.}	58	{REPEATCMD -> KwWhile RELATIONALEXPRESSION COMMAND.}
goto(43, BOOLEANOPERATOR)	{RELATIONALEXPRESSION -> RELATIONALEXPRESSION BOOLEANOPERATOR.RELATIONALTERM}	52	 
goto(43, ASSIGNCMD)	{COMMAND -> ASSIGNCMD.}	16	 
goto(43, INCMD)	{COMMAND -> INCMD.}	17	 
goto(43, OUTCMD)	{COMMAND -> OUTCMD.}	18	 
goto(43, CONDITIONCMD)	{COMMAND -> CONDITIONCMD.}	19	 
goto(43, REPEATCMD)	{COMMAND -> REPEATCMD.}	20	 
goto(43, SUBALGORITHM)	{COMMAND -> SUBALGORITHM.}	21	 
goto(43, OpBoolAnd)	{BOOLEANOPERATOR -> OpBoolAnd.}	53	 
goto(43, OpBoolOr)	{BOOLEANOPERATOR -> OpBoolOr.}	54	 
goto(43, KwAssign)	{ASSIGNCMD -> KwAssign.ARITHMETICEXPRESSION KwTo Var}	22	 
goto(43, KwRead)	{INCMD -> KwRead.Var}	23	 
goto(43, KwPrint)	{OUTCMD -> KwPrint.Var; OUTCMD -> KwPrint.String}	24	 
goto(43, KwIf)	{CONDITIONCMD -> KwIf.RELATIONALEXPRESSION KwThen COMMAND; CONDITIONCMD -> KwIf.RELATIONALEXPRESSION KwThen COMMAND KwElse COMMAND}	25	 
goto(43, KwWhile)	{REPEATCMD -> KwWhile.RELATIONALEXPRESSION COMMAND}	26	 
goto(43, KwBegin)	{SUBALGORITHM -> KwBegin.COMMANDLIST KwEnd}	27	 
goto(44, KwEnd)	{SUBALGORITHM -> KwBegin COMMANDLIST KwEnd.}	59	{SUBALGORITHM -> KwBegin COMMANDLIST KwEnd.}
goto(45, Var)	{ASSIGNCMD -> KwAssign ARITHMETICEXPRESSION KwTo Var.}	60	{ASSIGNCMD -> KwAssign ARITHMETICEXPRESSION KwTo Var.}
